,MESS_DATUM,FX,FM,SDK,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK
0,1954-06-01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,-1.0,17.6,10.4,-1.0
1,1954-06-02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.2,-1.0,19.7,9.7,-1.0
2,1954-06-03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.6,-1.0,21.9,8.2,-1.0
3,1954-06-04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.2,-1.0,17.3,11.8,-1.0
4,1954-06-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.2,-1.0,17.7,13.7,-1.0
5,1954-06-06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.9,-1.0,17.7,10.9,-1.0
6,1954-06-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.5,-1.0,14.6,8.4,-1.0
7,1954-06-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,-1.0,23.4,6.6,-1.0
8,1954-06-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.4,-1.0,26.3,12.0,-1.0
9,1954-06-10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.1,-1.0,19.0,11.3,-1.0
10,1954-06-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.8,-1.0,18.2,10.8,-1.0
11,1954-06-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.1,-1.0,22.4,10.3,-1.0
12,1954-06-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,-1.0,21.3,12.9,-1.0
13,1954-06-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.2,-1.0,17.4,12.2,-1.0
14,1954-06-15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.7,-1.0,17.5,12.2,-1.0
15,1954-06-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.2,-1.0,15.6,11.8,-1.0
16,1954-06-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.5,-1.0,20.0,12.3,-1.0
17,1954-06-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.8,-1.0,22.8,12.2,-1.0
18,1954-06-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.8,-1.0,26.8,13.1,-1.0
19,1954-06-20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.8,-1.0,28.4,15.5,-1.0
20,1954-06-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,-1.0,29.3,16.6,-1.0
21,1954-06-22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,24.4,15.8,-1.0
22,1954-06-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.3,-1.0,22.3,14.8,-1.0
23,1954-06-24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.4,-1.0,23.5,14.9,-1.0
24,1954-06-25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.7,-1.0,25.6,13.3,-1.0
25,1954-06-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.4,-1.0,26.6,16.6,-1.0
26,1954-06-27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.9,-1.0,24.1,13.8,-1.0
27,1954-06-28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.6,-1.0,13.8,11.0,-1.0
